trustLevel|totalScanTimeInSeconds|grandTotal|lineItemVoids|scansWithoutRegistration|quantityModifications|scannedLineItemsPerSecond|valuePerSecond|lineItemVoidsPerPosition|fraud|totalItemScanned|interTstsVps
5|1054|54.7|7|0|3|0.0275142314990512|0.0518975332068311|0.241379310344828|0|28.999999999999964|1111.5387950664135
3|108|27.36|5|2|4|0.12962962962963|0.253333333333333|0.357142857142857|0|14.00000000000004|142.29119999999995
3|1516|62.16|3|10|5|0.008575197889182|0.0410026385224274|0.230769230769231|0|12.999999999999913|1580.708724010554
6|1791|92.31|8|4|4|0.0161920714684534|0.0515410385259632|0.275862068965517|0|29.00000000000004|1888.0677532663317
5|430|81.53|3|7|2|0.0627906976744186|0.189604651162791|0.111111111111111|0|26.999999999999996|526.9884672093024
1|770|11.09|11|5|2|0.0337662337662338|0.0144025974025974|0.423076923076923|1|26.000000000000025|781.2497248051949
3|294|55.63|2|7|1|0.0374149659863946|0.18921768707483|0.181818181818182|0|11.000000000000012|360.1561799319729
2|1545|22.8|0|8|4|0.0064724919093851|0.0147572815533981|0.0|0|9.999999999999979|1568.1364660194176
6|962|65.44|7|0|2|0.0280665280665281|0.068024948024948|0.259259259259259|0|27.000000000000032|1031.8915525987525
2|725|41.08|10|2|4|0.0372413793103448|0.0566620689655172|0.37037037037037|0|26.99999999999998|768.4076777931035
5|1533|84.73|4|2|4|0.0104370515329419|0.0552707110241357|0.25|0|15.999999999999932|1622.4130873450752
4|764|28.98|8|0|0|0.0261780104712042|0.0379319371727749|0.4|0|20.000000000000007|794.079267539267
4|1736|5.46|4|10|4|0.0057603686635944|0.0031451612903225|0.4|0|9.99999999999988|1741.4771725806452
4|1705|16.96|7|4|4|0.0158357771260997|0.0099472140762463|0.259259259259259|0|26.999999999999986|1722.128704750733
6|1659|52.53|2|1|4|0.0126582278481013|0.0316636528028933|0.0952380952380952|0|21.000000000000057|1713.193291681736
1|870|32.45|3|1|5|0.0068965517241379|0.0372988505747126|0.5|0|5.9999999999999725|903.6603477011494
3|1295|42.9|11|10|0|0.016988416988417|0.0331274131274131|0.5|0|22.000000000000014|1339.321166023166
6|590|79.84|6|10|4|0.0406779661016949|0.135322033898305|0.25|0|23.99999999999999|680.6441111864406
3|139|59.0|8|5|5|0.0287769784172662|0.424460431654676|2.0|0|4.000000000000002|223.04316546762584
3|1724|25.4|7|4|3|0.0110208816705336|0.0147331786542923|0.368421052631579|0|18.99999999999993|1749.774222737819
3|1691|59.61|1|2|2|0.0088704908338261|0.0352513305736251|0.0666666666666667|0|14.999999999999936|1752.7113318154938
4|1505|2.7|6|4|0|0.0033222591362126|0.0017940199335548|1.2|0|4.999999999999963|1507.7048438538209
4|934|98.54|0|5|2|0.0085653104925053|0.105503211991435|0.0|0|7.99999999999995|1042.9362865096361
2|125|25.5|5|6|2|0.192|0.204|0.208333333333333|0|24.0|155.702
1|71|78.91|1|4|4|0.0140845070422535|1.11140845070423|1.0|0|0.9999999999999986|237.61124084507153
5|816|81.54|8|7|1|0.0110294117647059|0.0999264705882353|0.888888888888889|0|9.000000000000014|905.6880044117647
3|1503|23.0|10|3|1|0.019294743845642|0.0153027278775782|0.344827586206897|0|28.999999999999925|1526.3519627411843
4|329|56.65|10|2|5|0.0638297872340425|0.172188449848024|0.476190476190476|0|20.999999999999986|395.40447568389044
6|1629|40.42|6|7|4|0.0135052179251074|0.0248127685696746|0.272727272727273|0|21.999999999999954|1670.4229321055864
5|1435|91.96|4|3|3|0.0132404181184669|0.0640836236933798|0.210526315789474|0|19.0|1532.8531300348432
6|314|48.54|6|1|1|0.0764331210191083|0.154585987261147|0.25|0|24.000000000000007|370.0436038216563
5|285|6.23|5|6|2|0.105263157894737|0.021859649122807|0.166666666666667|0|30.000000000000046|291.36618561403503
5|891|78.96|2|10|2|0.0280583613916947|0.0886195286195286|0.08|0|24.99999999999998|976.957397979798
2|1355|48.87|2|0|4|0.0051660516605166|0.0360664206642066|0.285714285714286|0|6.999999999999993|1405.6325659778597
2|866|39.38|10|9|1|0.0046189376443418|0.045473441108545|2.5|0|3.9999999999999982|907.1707441108543
2|335|14.4|0|9|5|0.0149253731343284|0.0429850746268657|0.0|0|5.000000000000014|350.0189850746268
5|834|80.64|0|10|3|0.0155875299760192|0.0966906474820144|0.0|0|13.000000000000012|922.4371338129497
2|1397|62.59|7|9|4|0.0178954903364352|0.0448031496062992|0.28|1|24.99999999999997|1462.3942291338583
5|1561|91.75|7|6|2|0.0121716848174247|0.0587764253683536|0.368421052631579|0|18.999999999999957|1658.1427370275464
4|847|22.88|4|5|2|0.0106257378984652|0.027012987012987|0.444444444444444|0|9.000000000000023|870.498057142857
1|1520|41.88|6|8|2|0.0013157894736842|0.0275526315789474|3.0|0|1.9999999999999842|1563.0339042105265
2|622|60.75|11|5|4|0.0128617363344051|0.0976688102893891|1.375|0|7.999999999999972|688.6833802250803
4|1012|59.9|2|3|2|0.0148221343873518|0.0591897233201581|0.133333333333333|0|15.000000000000023|1075.4454644268774
2|1451|23.1|3|9|3|0.0013783597518952|0.0159200551343901|1.5|0|1.9999999999999352|1474.4677532736046
2|401|80.86|0|1|0|0.0199501246882793|0.201645885286783|0.0|0|8.0|498.16508628428926
6|960|93.09|7|2|3|0.0104166666666667|0.09696875|0.7|0|10.000000000000032|1062.1168209375
6|1433|72.19|7|7|0|0.0174459176552687|0.0503768318213538|0.28|0|25.000000000000046|1508.8267034891833
6|1424|66.9|9|8|3|0.0175561797752809|0.0469803370786517|0.36|0|25.0|1494.0429845505619
6|1820|54.64|0|0|1|0.0071428571428571|0.030021978021978|0.0|0|12.999999999999922|1876.2804008791206
1|16|32.29|2|0|5|1.5|2.018125|0.0833333333333333|0|24.0|113.45525624999999
4|617|90.73|0|0|5|0.0016207455429497|0.147050243111831|0.0|0|0.9999999999999649|721.0718685575362
3|1593|25.53|2|2|2|0.0175768989328311|0.0160263653483992|0.0714285714285714|0|27.999999999999943|1618.9391531073443
1|608|85.05|3|5|2|0.0131578947368421|0.139884868421053|0.375|0|7.9999999999999964|704.9472080592108
1|1385|34.68|5|8|4|0.0194945848375451|0.0250397111913357|0.185185185185185|1|26.999999999999964|1420.5483771841152
3|983|14.07|2|4|0|0.0193285859613428|0.0143133265513733|0.105263157894737|0|18.99999999999997|997.2713885045778
1|768|7.24|4|10|3|0.0143229166666667|0.0094270833333333|0.363636363636364|0|11.000000000000027|775.3082520833332
1|1474|60.64|9|0|5|0.0128900949796472|0.0411397557666214|0.473684210526316|0|18.99999999999997|1537.1347147896877
6|692|21.65|7|7|5|0.0216763005780347|0.0312861271676301|0.466666666666667|0|15.000000000000012|714.3273446531794
2|351|50.75|1|7|0|0.0455840455840456|0.144586894586895|0.0625|0|16.000000000000007|409.0877849002851
1|107|39.55|1|6|4|0.252336448598131|0.369626168224299|0.037037037037037|0|27.000000000000014|161.168714953271
5|1237|48.22|7|2|3|0.0080840743734842|0.038981406628941|0.7|0|9.999999999999956|1287.0996834276475
2|1450|62.63|5|9|3|0.0103448275862069|0.0431931034482759|0.333333333333333|0|15.000000000000005|1515.3351840689656
5|508|57.9|2|7|0|0.0275590551181102|0.113976377952756|0.142857142857143|0|13.999999999999982|572.4992322834647
1|1748|26.31|0|9|1|0.0085812356979405|0.0150514874141876|0.0|0|14.999999999999995|1774.706004633867
6|1000|61.24|7|3|0|0.009|0.06124|0.777777777777778|0|9.0|1064.9903376
1|1123|28.94|1|0|5|0.0133570792520036|0.0257702582368655|0.0666666666666667|0|15.000000000000043|1152.685791273375
1|232|18.27|9|5|2|0.0086206896551724|0.07875|4.5|0|1.9999999999999967|251.70876250000003
2|1327|7.02|7|1|5|0.0188394875659382|0.0052901281085154|0.28|0|24.999999999999993|1334.0571366993217
6|449|21.0|5|4|2|0.0022271714922049|0.0467706013363029|5.0|0|1.0000000000000002|470.9821826280624
4|1228|3.17|7|4|4|0.0244299674267101|0.0025814332247557|0.233333333333333|0|30.000000000000004|1231.1781831433225
1|861|31.34|11|3|0|0.0232288037166086|0.0363995354239257|0.55|0|20.000000000000007|893.4807614401858
5|70|40.04|1|1|4|0.4|0.572|0.0357142857142857|0|28.0|132.94288
6|1154|57.64|7|10|4|0.0173310225303293|0.049948006932409|0.35|0|20.00000000000001|1214.519003119584
3|1393|99.58|1|8|0|0.0136396267049533|0.0714860014357502|0.0526315789473684|0|18.999999999999947|1499.698576022972
2|1068|23.64|4|0|1|0.0131086142322097|0.0221348314606742|0.285714285714286|0|13.999999999999961|1092.1632674157304
6|300|93.04|4|4|3|0.0333333333333333|0.310133333333333|0.4|0|9.99999999999999|421.8948053333331
2|250|33.95|11|10|3|0.056|0.1358|0.785714285714286|0|14.0|288.56041
